eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,total_timesteps,value_loss
200.0,-1258.28997161,0.4181378483772278,2629,12400,1.542906403541565,744000,98310.234375
200.0,-1225.61457488,0.7749042958021164,2628,12500,1.5439300537109375,750000,145.92588806152344
200.0,-1235.9594398400002,0.045273542404174805,2628,12600,1.5463712215423584,756000,98762.8828125
200.0,-1223.28232227,0.5729829370975494,2629,12700,1.5439413785934448,762000,120.2198257446289
200.0,-1230.7789019200002,0.30339479446411133,2629,12800,1.5465235710144043,768000,99631.6796875
200.0,-1227.26194614,0.7955248355865479,2629,12900,1.5468518733978271,774000,132.0368194580078
200.0,-1245.63052269,0.20403766632080078,2629,13000,1.5465106964111328,780000,105431.0078125
200.0,-1218.94396312,0.8775125443935394,2630,13100,1.544054627418518,786000,120.1861343383789
200.0,-1211.96109428,-0.09010577201843262,2629,13200,1.5447794198989868,792000,103452.796875
200.0,-1196.95212072,0.4582135081291199,2630,13300,1.548652172088623,798000,147.6301727294922
200.0,-1201.09477973,0.29138779640197754,2631,13400,1.5482968091964722,804000,103756.9296875
200.0,-1213.78068138,0.7019875943660736,2632,13500,1.5467966794967651,810000,80.47248840332031
200.0,-1267.57703091,0.23872292041778564,2633,13600,1.5474238395690918,816000,105739.6484375
200.0,-1260.77023611,0.8928471580147743,2632,13700,1.549126386642456,822000,123.2102279663086
200.0,-1249.09913085,0.2743447422981262,2632,13800,1.5480310916900635,828000,101500.6171875
200.0,-1228.6894279800001,0.7377139329910278,2633,13900,1.5487167835235596,834000,187.26040649414062
200.0,-1191.1045244799998,-0.18530511856079102,2633,14000,1.5481845140457153,840000,104405.25
200.0,-1166.6754248999998,0.827151358127594,2634,14100,1.5465798377990723,846000,155.05506896972656
200.0,-1170.07940073,-0.14103543758392334,2634,14200,1.545098066329956,852000,105307.484375
200.0,-1203.45971848,0.7952528297901154,2634,14300,1.544067621231079,858000,162.63987731933594
200.0,-1239.83914897,0.19059085845947266,2634,14400,1.542833924293518,864000,105364.96875
200.0,-1262.9856037700001,0.7138223350048065,2634,14500,1.5424695014953613,870000,220.552490234375
200.0,-1241.17116899,0.19043099880218506,2635,14600,1.5434740781784058,876000,109470.453125
200.0,-1273.86462909,0.7523414641618729,2633,14700,1.5417732000350952,882000,183.2529296875
200.0,-1268.5808140499998,-0.21632933616638184,2634,14800,1.542243480682373,888000,107630.8828125
